"","Ano","Edição","Nome do GT","Título","Autores","Links"
"1","2020","XXIX COMPÓS: UFMS/CAMPO GRANDE","Comunicação e cibercultura","APLICATIVOS DE MOBILIDADE E OCUPAÇÃO DO ESPAÇO URBANO: um estudo sobre as redes de bicicletas e patinetes compartilhados na cidade de São Paulo","CARLOS EDUARDO SOUZA AGUIAR (FAPCOM) ,DAYANA KARLA MELO DA SILVA (USP) ","http://www.compos.org.br/biblioteca/trabalhos_arquivo_WE2GJA4T12Q2ZHWVYPM3_30_8663_29_02_2020_20_15_24.pdf"
"2","2020","XXIX COMPÓS: UFMS/CAMPO GRANDE","Comunicação e cibercultura","BRINCANDO EM SERVIÇO: as potencialidades informativas do lúdico no jornalismo digital ","OLGA CLARINDO LOPES (UFSC) ","http://www.compos.org.br/biblioteca/trabalhos_arquivo_DQJX2AD82Z2Q9V236ZC0_30_8615_26_02_2020_12_54_53.pdf"
"3","2020","XXIX COMPÓS: UFMS/CAMPO GRANDE","Comunicação e cibercultura","Capital Lúdico e Trabalho na Transposição dos Jogos Digitais para as Plataformas de Streaming","ANDRé FAGUNDES PASE (PUCRS) ,MARIANA GOMES DA FONTOURA (PUCRS) ,LETICIA DALLEGRAVE (PUCRS) ","http://www.compos.org.br/biblioteca/trabalhos_arquivo_Z7JXX0MXCF043R9M9LF3_30_8636_26_02_2020_13_38_22.pdf"
"4","2020","XXIX COMPÓS: UFMS/CAMPO GRANDE","Comunicação e cibercultura","CIRCULAÇÃO DE INFORMAÇÃO NO TWITTER: como líderes de opinião ressignificam as notícias ","FELIPE BONOW SOARES (UFRGS) ","http://www.compos.org.br/biblioteca/trabalhos_arquivo_6OOX9F1O632DAU0VLTQG_30_8339_01_03_2020_09_18_41.pdf"
"5","2020","XXIX COMPÓS: UFMS/CAMPO GRANDE","Comunicação e cibercultura","NO LIMITE DA UTOPIA: Esports, Neoliberalismo e como a Cultura Gamer desceu à Loucura ","TARCÍZIO MACEDO (UFRGS) ,THIAGO PEREIRA FALCãO (UFPB) ,DANIEL GOIS RABELO MARQUES (UFBA) ,IVAN MUSSA TAVARES GOMES (UFRN) ","http://www.compos.org.br/biblioteca/trabalhos_arquivo_JJ4RE9ZXIGCI1VUADD9M_30_8671_26_02_2020_16_35_43.pdf"
"6","2020","XXIX COMPÓS: UFMS/CAMPO GRANDE","Comunicação e cibercultura","NOVOS CAMINHOS DA INFORMAÇÃO: mediação e visibilidade nos protestos brasileiros de 2013","NINA SANTOS (UFBA) ","http://www.compos.org.br/biblioteca/trabalhos_arquivo_RCOEE6C8VI87D51MV63T_30_8243_10_02_2020_14_18_55.pdf"
"7","2020","XXIX COMPÓS: UFMS/CAMPO GRANDE","Comunicação e cibercultura","OS DADOS DIGITAIS NA COMUNICAÇÃO: um novo padrão nas pesquisas?","LEON EUGêNIO MONTEIRO RABELO (UnB) ,DANIEL JORGE TEIXEIRA CESAR (UnB) ","http://www.compos.org.br/biblioteca/trabalhos_arquivo_90JEHXQW1GEGS82BRUCE_30_8605_26_02_2020_10_08_40.pdf"
"8","2020","XXIX COMPÓS: UFMS/CAMPO GRANDE","Comunicação e cibercultura","PARA ALÉM DOS “DADOS COLETADOS”: políticas das APIs e mediações algorítmicas nas plataformas de mídia social","CARLOS FREDERICO DE BRITO D`ANDRéA (UFMG) ","http://www.compos.org.br/biblioteca/trabalhos_arquivo_SARKMWQPI3PB37HE1626_30_8377_21_02_2020_12_34_47.pdf"
"9","2020","XXIX COMPÓS: UFMS/CAMPO GRANDE","Comunicação e cibercultura","Práticas conversacionais no WhatsApp: a interação em conversações paralelas","ALEX PRIMO  (UFRGS) ,VANESSA VALIATI (FEEVALE) ,LAURA SANTOS DE BARROS (UFRGS) ","http://www.compos.org.br/biblioteca/trabalhos_arquivo_L83KSROGL7VDZ6E6JJZ9_30_8218_05_02_2020_09_01_09.pdf"
"10","2020","XXIX COMPÓS: UFMS/CAMPO GRANDE","Comunicação e cibercultura","REDES SOCIAIS E QUESTÕES DE INTERESSE PÚBLICO EM TEMPOS DE POLARIZAÇÃO IDEOLÓGICA","EDSON FERNANDO DALMONTE (UFBA) ","http://www.compos.org.br/biblioteca/trabalhos_arquivo_DK6Q2JICLK6P8HLXSEJG_30_8709_26_02_2020_16_31_13.pdf"
